팀 이름,타순,이름,Pos.,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI,WPA,RE24
키움,1,푸이그,LF,5,5,2,2,0,1,0,0,0,1,2,16,0,3,0.412,1.088,0.94,0.044,-0.04
키움,,박주홍,"PH,LF,1B",2,2,1,1,0,0,0,0,0,1,0,6,0,2,0.214,0.428,0.01,0.000,-0.02
키움,2,이주형,CF,6,6,1,3,0,2,0,0,1,0,2,14,0,1,0.389,0.894,0.70,0.129,1.71
키움,3,카디네스,RF,6,4,2,2,1,4,2,0,2,0,0,23,0,2,0.500,1.488,0.54,0.177,2.92
키움,,장재영,"RF,LF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
키움,4,송성문,2B,6,5,2,2,0,2,1,0,1,1,1,21,0,3,0.278,0.683,0.46,-0.035,1.19
키움,5,최주환,1B,6,6,2,3,0,2,0,0,0,0,3,12,0,2,0.444,1.141,0.48,0.118,1.58
키움,,박윤성,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.00,0.000,0.00
키움,6,전태현,DH,5,5,3,4,0,2,0,0,0,0,1,20,0,1,0.857,1.875,0.63,0.077,2.53
키움,,이형종,"PH,RF",1,1,0,0,0,0,0,0,1,0,0,6,0,0,0.000,0.000,0.00,0.000,-0.29
키움,7,여동욱,3B,4,2,1,1,0,0,2,0,0,0,1,16,0,1,0.250,0.857,0.99,0.132,1.60
키움,,김태진,SS,2,1,0,1,0,0,1,0,0,0,0,7,0,0,0.250,0.583,0.00,0.000,0.44
키움,8,김재현,C,6,5,2,1,0,1,0,1,0,2,2,13,1,5,0.143,0.393,0.88,-0.096,-2.37
키움,9,오선진,"SS,3B",6,5,1,1,0,1,1,0,1,1,2,26,0,4,0.167,0.619,0.69,0.160,1.20
키움,팀 합계,,,55,47,17,21,1,15,7,1,6,6,14,180,1,24,0.447,1.144,1.26,0.706,10.45
KIA,1,최원준,"CF,RF",5,4,1,1,0,0,1,0,1,1,1,20,0,3,0.294,0.804,0.99,-0.041,-0.23
KIA,,서건창,"PH,LF",1,1,0,1,0,1,0,0,0,0,0,8,0,0,0.250,0.750,0.01,0.000,1.14
KIA,2,위즈덤,1B,4,2,2,1,0,0,2,0,1,0,0,19,0,3,0.250,1.054,1.38,-0.001,0.20
KIA,,김규성,"PH,3B",2,1,0,1,0,2,1,0,0,0,0,10,0,0,0.500,1.071,0.10,0.008,1.22
KIA,3,나성범,RF,5,3,0,1,0,3,2,0,0,1,1,23,0,2,0.400,1.367,1.03,0.127,2.09
KIA,,박재현,CF,1,1,0,0,0,0,0,0,0,1,0,3,0,2,0.000,0.000,0.04,-0.001,-0.55
KIA,4,최형우,DH,5,4,1,2,0,2,1,0,0,0,2,15,0,3,0.313,1.014,1.27,0.149,1.74
KIA,,홍종표,PH,1,0,1,0,0,0,1,0,0,0,0,4,0,0,0.000,0.250,0.01,0.001,0.59
KIA,5,김선빈,2B,6,5,0,0,0,0,1,0,1,2,1,31,0,7,0.375,0.912,0.84,-0.087,-2.47
KIA,6,이우성,LF,5,5,0,1,0,1,0,0,0,3,1,12,0,4,0.353,1.000,0.82,0.029,-0.70
KIA,,박정우,"LF,RF",1,1,0,0,0,0,0,0,1,0,0,4,0,1,0.500,1.500,0.02,0.000,-0.36
KIA,7,변우혁,"3B,1B",6,6,1,2,0,1,0,0,3,0,1,25,0,2,0.333,0.833,0.42,-0.053,0.19
KIA,8,김태군,C,3,2,0,0,0,0,1,0,0,1,1,11,0,2,0.286,0.619,0.62,0.045,0.13
KIA,,한준수,C,3,3,1,1,0,0,0,0,0,0,2,10,0,1,0.300,1.300,0.01,0.001,0.09
KIA,9,윤도현,SS,5,3,3,2,0,0,2,0,0,1,0,22,0,1,0.333,1.167,0.58,0.028,1.40
KIA,팀 합계,,,53,41,10,13,0,10,12,0,7,10,10,217,0,31,0.317,0.960,1.63,0.205,4.48
