날짜,팀,기록,기록값
2025-03-22,KIA,GDP,1
2025-03-22,KIA,H,12
2025-03-22,KIA,HR,1
2025-03-22,KIA,R,9
2025-03-22,KIA,SO,5
2025-03-22,KIA,경기결과,W
2025-03-22,KIA,도루,0
2025-03-22,KIA,사구,3
2025-03-22,KIA,실책,0
2025-03-22,KT,GDP,1
2025-03-22,KT,H,12
2025-03-22,KT,HR,1
2025-03-22,KT,R,3
2025-03-22,KT,SO,7
2025-03-22,KT,경기결과,L
2025-03-22,KT,도루,1
2025-03-22,KT,사구,2
2025-03-22,KT,실책,0
2025-03-22,LG,GDP,1
2025-03-22,LG,H,15
2025-03-22,LG,HR,2
2025-03-22,LG,R,12
2025-03-22,LG,SO,8
2025-03-22,LG,경기결과,W
2025-03-22,LG,도루,1
2025-03-22,LG,사구,7
2025-03-22,LG,실책,0
2025-03-22,NC,GDP,0
2025-03-22,NC,H,7
2025-03-22,NC,HR,0
2025-03-22,NC,R,2
2025-03-22,NC,SO,11
2025-03-22,NC,경기결과,L
2025-03-22,NC,도루,0
2025-03-22,NC,사구,4
2025-03-22,NC,실책,0
2025-03-22,SSG,GDP,0
2025-03-22,SSG,H,8
2025-03-22,SSG,HR,1
2025-03-22,SSG,R,6
2025-03-22,SSG,SO,7
2025-03-22,SSG,경기결과,W
2025-03-22,SSG,도루,0
2025-03-22,SSG,사구,5
2025-03-22,SSG,실책,0
2025-03-22,두산,GDP,0
2025-03-22,두산,H,9
2025-03-22,두산,HR,0
2025-03-22,두산,R,5
2025-03-22,두산,SO,14
2025-03-22,두산,경기결과,L
2025-03-22,두산,도루,0
2025-03-22,두산,사구,8
2025-03-22,두산,실책,0
2025-03-22,롯데,GDP,1
2025-03-22,롯데,H,7
2025-03-22,롯데,HR,0
2025-03-22,롯데,R,2
2025-03-22,롯데,SO,8
2025-03-22,롯데,경기결과,L
2025-03-22,롯데,도루,0
2025-03-22,롯데,사구,3
2025-03-22,롯데,실책,0
2025-03-22,삼성,GDP,0
2025-03-22,삼성,H,18
2025-03-22,삼성,HR,2
2025-03-22,삼성,R,13
2025-03-22,삼성,SO,9
2025-03-22,삼성,경기결과,W
2025-03-22,삼성,도루,0
2025-03-22,삼성,사구,5
2025-03-22,삼성,실책,0
2025-03-22,키움,GDP,3
2025-03-22,키움,H,14
2025-03-22,키움,HR,2
2025-03-22,키움,R,5
2025-03-22,키움,SO,8
2025-03-22,키움,경기결과,L
2025-03-22,키움,도루,0
2025-03-22,키움,사구,2
2025-03-22,키움,실책,0
2025-03-22,한화,GDP,0
2025-03-22,한화,H,6
2025-03-22,한화,HR,1
2025-03-22,한화,R,4
2025-03-22,한화,SO,9
2025-03-22,한화,경기결과,W
2025-03-22,한화,도루,4
2025-03-22,한화,사구,3
2025-03-22,한화,실책,0
